genre,title,href,author,author_href,difficulty,raiting
Fan Fiction,Epoch Coda,https://chooseyourstory.com/story/Epoch_Coda_.aspx,CobaltBlaze,https://chooseyourstory.com/member/?Username=CobaltBlaze,3,4.97
Fan Fiction,Escape From Saigon,https://chooseyourstory.com/story/Escape_From_Saigon.aspx,mattisatschool,https://chooseyourstory.com/member/?Username=mattisatschool,2,3.66
Fan Fiction,Escape The Torture Mansion,https://chooseyourstory.com/story/Escape_The_Torture_Mansion.aspx,LordExplosionMurder,https://chooseyourstory.com/member/?Username=LordExplosionMurder,7,3.07
Fan Fiction,Escaping The Pit of Sin,https://chooseyourstory.com/story/Escaping_The_Pit_of_Sin.aspx,Yummyfood,https://chooseyourstory.com/member/?Username=Yummyfood,4,3.69
Fan Fiction,Fallout : Seattle under Siege,https://chooseyourstory.com/story/Fallout__0x3a__Seattle_under_Siege.aspx,fluttershypegasus,https://chooseyourstory.com/member/?Username=fluttershypegasus,6,4.80
Fan Fiction,Fear the Psyker,https://chooseyourstory.com/story/Fear_the_Psyker.aspx,Steve24833,https://chooseyourstory.com/member/?Username=Steve24833,3,6.68
Fan Fiction,Final Destination: Cheating Death,https://chooseyourstory.com/story/Final_Destination_0x3a__Cheating_Death.aspx,DarthVader_13,https://chooseyourstory.com/member/?Username=DarthVader_13,2,3.99
Fan Fiction,Finali Incantatum,https://chooseyourstory.com/story/Finali_Incantatum.aspx,Jobarbille,https://chooseyourstory.com/member/?Username=Jobarbille,3,5.65
Fan Fiction,Gay Old Time,https://chooseyourstory.com/story/Gay_Old_Time.aspx,Darius_Conwright,https://chooseyourstory.com/member/?Username=Darius_Conwright,3,5.63
Fan Fiction,"Get To Work, Squarepants!","https://chooseyourstory.com/story/Get_To_Work,_Squarepants!.aspx",raychallx,https://chooseyourstory.com/member/?Username=raychallx,5,3.23
Fan Fiction,Gig: Blast Damage Days,https://chooseyourstory.com/story/Gig_0x3a__Blast_Damage_Days.aspx,Zardoz,https://chooseyourstory.com/member/?Username=Zardoz,3,3.38
Fan Fiction,Hansel and Gretel's Great Escape,https://chooseyourstory.com/story/Hansel_and_Gretel's_Great_Escape.aspx,graetvikin,https://chooseyourstory.com/member/?Username=graetvikin,3,3.29
Fan Fiction,Hard Night,https://chooseyourstory.com/story/Hard_Night.aspx,Chris113022,https://chooseyourstory.com/member/?Username=Chris113022,3,4.62
Fan Fiction,Harry Potter and the Philosopher's Drone,https://chooseyourstory.com/story/Harry_Potter_and_the_Philosopher's_Drone.aspx,jbranch1998,https://chooseyourstory.com/member/?Username=jbranch1998,5,3.71
Fan Fiction,Harry Potter: Sorting Hat Quiz,https://chooseyourstory.com/story/Harry_Potter_0x3a__Sorting_Hat_Quiz.aspx,LucyWitch,https://chooseyourstory.com/member/?Username=LucyWitch,1,4.23
Fan Fiction,Harry Potter: The Last Riddle,https://chooseyourstory.com/story/Harry_Potter_0x3a__The_Last_Riddle.aspx,fluttershypegasus,https://chooseyourstory.com/member/?Username=fluttershypegasus,2,5.39
Fan Fiction,Hell Girl: The Shattered Mirror,https://chooseyourstory.com/story/Hell_Girl_0x3a__The_Shattered_Mirror.aspx,Corinthian,https://chooseyourstory.com/member/?Username=Corinthian,1,5.55
Fan Fiction,Herobrine,https://chooseyourstory.com/story/Herobrine.aspx,bcorker,https://chooseyourstory.com/member/?Username=bcorker,2,3.68
Fan Fiction,HIGHWAYS to HELL,https://chooseyourstory.com/story/HIGHWAYS_to_HELL.aspx,Smallfry,https://chooseyourstory.com/member/?Username=Smallfry,5,4.99
Fan Fiction,Is Dave Chappelle crazy?,https://chooseyourstory.com/story/Is_Dave_Chappelle_crazy_0x3f_.aspx,redstorm,https://chooseyourstory.com/member/?Username=redstorm,4,3.63
Fan Fiction,Is it Shameful?,https://chooseyourstory.com/story/Is_it_Shameful_0x3f_.aspx,Netan,https://chooseyourstory.com/member/?Username=Netan,2,3.29
Fan Fiction,Isabel's Next Adventure,https://chooseyourstory.com/story/Isabel's_Next_Adventure.aspx,shazwott,https://chooseyourstory.com/member/?Username=shazwott,4,3.17
Fan Fiction,Kaiju Domination: Episode 1- Godzilla,https://chooseyourstory.com/story/Kaiju_Domination_0x3a__Episode_1-_Godzilla.aspx,Godzilla,https://chooseyourstory.com/member/?Username=Godzilla,3,3.81
Fan Fiction,Kick Dora's Butt!,https://chooseyourstory.com/story/Kick_Dora's_Butt!.aspx,Max_&_Maya,https://chooseyourstory.com/member/?Username=Max_%26_Maya,3,3.69
Fan Fiction,Life is Strange: Blood Oath,https://chooseyourstory.com/story/Life_is_Strange_0x3a__Blood_Oath_.aspx,TomCom69,https://chooseyourstory.com/member/?Username=TomCom69,5,3.30
Fan Fiction,Lone Star,https://chooseyourstory.com/story/Lone_Star.aspx,SpartacustheGreat,https://chooseyourstory.com/member/?Username=SpartacustheGreat,3,3.36
Fan Fiction,Lorem Ipsum,https://chooseyourstory.com/story/Lorem_Ipsum.aspx,Jobarbille,https://chooseyourstory.com/member/?Username=Jobarbille,1,5.06
Fan Fiction,"LOTR:The Shire, an Exploration Game","https://chooseyourstory.com/story/LOTR_0x3a_The_Shire,_an_Exploration_Game.aspx",fluttershypegasus,https://chooseyourstory.com/member/?Username=fluttershypegasus,1,3.56
Fan Fiction,Marios Adventure Island 3: Sports Extravaganza!,https://chooseyourstory.com/story/Marios_Adventure_Island_3_0x3a__Sports_Extravaganza!.aspx,SuperMarioJon,https://chooseyourstory.com/member/?Username=SuperMarioJon,3,3.19
Fan Fiction,Marvel Adventure,https://chooseyourstory.com/story/Marvel_Adventure.aspx,Briar_Rose,https://chooseyourstory.com/member/?Username=Briar_Rose,3,3.69
Fan Fiction,Marvel Universe: Fallen,https://chooseyourstory.com/story/Marvel_Universe_0x3a__Fallen.aspx,Xanaktor,https://chooseyourstory.com/member/?Username=Xanaktor,6,3.11
Fan Fiction,Middle Earth: Morgoth's Tyranny,https://chooseyourstory.com/story/Middle_Earth_0x3a__Morgoth's_Tyranny.aspx,fluttershypegasus,https://chooseyourstory.com/member/?Username=fluttershypegasus,4,5.85
Fan Fiction,Momojiro,https://chooseyourstory.com/story/Momojiro.aspx,StoryTurtle,https://chooseyourstory.com/member/?Username=StoryTurtle,3,4.61
Fan Fiction,Murder!,https://chooseyourstory.com/story/Murder!.aspx,KaliZeena,https://chooseyourstory.com/member/?Username=KaliZeena,1,3.36
Fan Fiction,My Little Pony: The Crystal Beacon,https://chooseyourstory.com/story/My_Little_Pony_0x3a__The_Crystal_Beacon.aspx,fluttershypegasus,https://chooseyourstory.com/member/?Username=fluttershypegasus,3,4.33
Fan Fiction,Nen Personality Test,https://chooseyourstory.com/story/Nen_Personality_Test.aspx,puddlebunni,https://chooseyourstory.com/member/?Username=puddlebunni,2,4.29
Fan Fiction,Neon Genesis Evangelion,https://chooseyourstory.com/story/Neon_Genesis_Evangelion.aspx,WouldntItBeNice,https://chooseyourstory.com/member/?Username=WouldntItBeNice,6,3.81
Fan Fiction,Neon Genesis Evangelion: You Can (Not) Wait,https://chooseyourstory.com/story/Neon_Genesis_Evangelion_0x3a__You_Can_(Not)_Wait.aspx,Trish,https://chooseyourstory.com/member/?Username=Trish,3,4.23
Fan Fiction,No Quarter,https://chooseyourstory.com/story/No_Quarter.aspx,WouldntItBeNice,https://chooseyourstory.com/member/?Username=WouldntItBeNice,3,4.92
Fan Fiction,Project Origin: Atrophy,https://chooseyourstory.com/story/Project_Origin_0x3a__Atrophy.aspx,simplesabley,https://chooseyourstory.com/member/?Username=simplesabley,3,6.53
Fan Fiction,Project Origin: The Unraveling (part 1),https://chooseyourstory.com/story/Project_Origin_0x3a__The_Unraveling_(part_1).aspx,simplesabley,https://chooseyourstory.com/member/?Username=simplesabley,2,5.66
Fan Fiction,Prophetess,https://chooseyourstory.com/story/Prophetess.aspx,TypewriterCat,https://chooseyourstory.com/member/?Username=TypewriterCat,4,5.48
Fan Fiction,Quest for the Holy Grail,https://chooseyourstory.com/story/Quest_for_the_Holy_Grail.aspx,Briar_Rose,https://chooseyourstory.com/member/?Username=Briar_Rose,4,6.01
Fan Fiction,"Rain, Rain, Go Away 2","https://chooseyourstory.com/story/Rain,_Rain,_Go_Away_2.aspx",MrDaoYi,https://chooseyourstory.com/member/?Username=MrDaoYi,3,4.07
Fan Fiction,"Randomly Walk II, The epic sequel.","https://chooseyourstory.com/story/Randomly_Walk_II,_The_epic_sequel_0x2e_.aspx",ISentinelPenguinI,https://chooseyourstory.com/member/?Username=ISentinelPenguinI,2,4.44
